game_name,agent_name,iteration,score,duration,natural_end,move_limit,turn_limit,supported,selected_heuristic,selected_agent,ensemble_size
"4 Squared",Ensemble,17,1,45,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,18,1,51,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,19,0,66,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,20,1,65,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,21,1,53,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,22,1,55,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,23,1,49,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,24,1,75,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,25,1,49,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,26,1,59,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,27,1,61,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,28,1,63,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,29,1,59,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,30,0,90,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,31,1,45,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,32,1,55,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,33,1,45,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,34,1,63,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,35,1,51,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,36,1,55,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,37,1,53,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,38,1,53,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,39,1,43,1,0,0,1,UnthreatenedMaterialPos,-,5
